,chargerId,gpsLat,gpsLong,type,physicalPosition,session.position,carChargeParameter.maxPower,numberStacks,average_current_all_months,polygon,number_charging_station,population_density,amenity_school_count,amenity_university_count,amenity_restaurant_count,amenity_place_of_worship_count,amenity_community_centre_count,amenity_townhall_count,amenity_parking_count,amenity_library_count,leisure_park_count,leisure_cinema_count,building_commercial_count,building_government_count,building_civic_count,building_retail_count,land_use,oneway,lanes,highway,maxspeed,node_count,edge_count
39,9726.0,42.03137331652554,11.962792231411816,CCS2_400,4.0,2,326000.0,4.0,467.479020979021,"POLYGON ((11.959768747988008 42.029112387193145, 11.959768747988008 42.03363424585793, 11.965815714835625 42.03363424585793, 11.965815714835625 42.029112387193145, 11.959768747988008 42.029112387193145))",1,0.0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Other,yes,1,service,130.0,0,0
40,9729.0,43.81879153258581,11.17229195985093,CCS2_400,4.0,2,126000.0,4.0,392.52722222222224,"POLYGON ((11.169179451671772 43.81653060325342, 11.169179451671772 43.82105246191821, 11.17540446803009 43.82105246191821, 11.17540446803009 43.81653060325342, 11.169179451671772 43.81653060325342))",1,0.10486416806722688,0,0,0,0,0,0,9,0,0,0,0,0,0,0,Other,yes,2,service,82.85714285714286,0,0
41,9817.0,43.83179219080415,11.16010001834332,CCS2_400,4.0,2,0.0,4.0,457.65641025641025,"POLYGON ((11.156986832230423 43.82953126147176, 11.156986832230423 43.834053120136545, 11.163213204456216 43.834053120136545, 11.163213204456216 43.82953126147176, 11.156986832230423 43.82953126147176))",1,0.36757990099009896,0,0,0,1,0,0,3,0,0,0,0,0,0,0,residential,yes,1,service,50.526315789473685,6,7
42,9834.0,44.96291787090095,9.906272294036722,CCS2_400,1.0,1,214000.0,4.0,470.0460784313725,"POLYGON ((9.903098337955601 44.96065694156856, 9.903098337955601 44.965178800233346, 9.909446250117842 44.965178800233346, 9.909446250117842 44.96065694156856, 9.903098337955601 44.96065694156856))",2,0.24070578787878782,0,0,2,0,0,0,2,0,0,0,0,0,0,1,Other,yes,1,service,73.75,0,0
43,9835.0,45.5738853,9.392549,CCS2_400,4.0,2,0.0,4.0,424.3016042780749,"POLYGON ((9.38934069500029 45.57162437066761, 9.38934069500029 45.576146229332394, 9.395757304999712 45.576146229332394, 9.395757304999712 45.57162437066761, 9.38934069500029 45.57162437066761))",1,0.056568293706293606,0,0,1,0,0,0,2,0,0,0,2,0,0,0,commercial,yes,1,service,61.0,2,1
44,9836.0,45.60832003095096,12.297277564364082,CCS2_400,1.0,1,0.0,4.0,503.6098484848485,"POLYGON ((12.294067290369583 45.60605910161857, 12.294067290369583 45.61058096028336, 12.300487838358581 45.61058096028336, 12.300487838358581 45.60605910161857, 12.294067290369583 45.60605910161857))",2,0.47914328571428566,0,0,2,0,0,0,14,0,0,0,0,0,0,2,residential,yes,3,service,70.0,4,3
45,9837.0,44.87931,11.57073,CCS2_400,1.0,1,0.0,4.0,507.5333333333333,"POLYGON ((11.567560659365645 44.8770490706676, 11.567560659365645 44.88157092933239, 11.573899340634354 44.88157092933239, 11.573899340634354 44.8770490706676, 11.567560659365645 44.8770490706676))",2,0.39024937499999995,0,0,0,0,0,0,26,0,0,0,0,0,0,2,Other,yes,2,service,130.0,0,0
46,9838.0,45.729051,9.028446,CCS2_400,1.0,1,0.0,4.0,456.3409090909091,"POLYGON ((9.025228794222558 45.726790070667604, 9.025228794222558 45.73131192933239, 9.031663205777443 45.73131192933239, 9.031663205777443 45.726790070667604, 9.025228794222558 45.726790070667604))",2,0.5481480743801653,0,0,2,0,0,0,11,0,0,0,1,0,0,2,residential,yes,1,service,52.0,4,3
47,9839.0,45.7293,9.02912,CCS2_400,4.0,2,129000.0,4.0,450.34570828331334,"POLYGON ((9.02590277988049 45.72703907066761, 9.02590277988049 45.731560929332396, 9.032337220119512 45.731560929332396, 9.032337220119512 45.72703907066761, 9.02590277988049 45.72703907066761))",2,0.7344641979166666,0,0,2,0,0,0,11,0,0,0,1,0,0,2,residential,yes,1,service,52.0,4,3
48,9840.0,43.81879540319122,11.172247703403862,CCS2_400,1.0,1,100000.0,4.0,389.3571428571429,"POLYGON ((11.169135195022934 43.81653447385882, 11.169135195022934 43.82105633252361, 11.17536021178479 43.82105633252361, 11.17536021178479 43.81653447385882, 11.169135195022934 43.81653447385882))",1,0.10486416806722688,0,0,0,0,0,0,9,0,0,0,0,0,0,0,Other,yes,2,service,85.0,0,0
