,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
610,"POLYGON ((-79634.08423786657 5013068.386126774, -79670.8610937394 5012574.580932234, -80170.12279701326 5012611.762866604, -80133.345465024 5013105.570899053, -79634.08423786657 5013068.386126774))",0,[],9.179754194444444,Other,33,65,0.0615530303030303,0,0,0,0,0,0,1,0,0,0,0,0,5,Yes,"{'primary', 'tertiary', 'residential', 'unclassified'}",2.2444444444444445,42.083333333333336,Turin
611,"POLYGON ((-79670.8610937394 5012574.580932234, -79707.63514259772 5012080.775266897, -80206.89732198569 5012117.954363125, -80170.12279701326 5012611.762866604, -79670.8610937394 5012574.580932234))",2,"[[<POINT (7.64 45.027)>], [<POINT (7.641 45.026)>]]",15.938342726190475,industrial,33,55,0.0520833333333333,0,0,3,0,0,0,3,0,2,3,0,0,0,Yes,"{'primary', 'residential', 'secondary'}",3.034482758620689,49.354838709677416,Turin
612,"POLYGON ((-79707.63514259772 5012080.775266897, -79744.40638421138 5011586.96913076, -80243.66903971194 5011624.145388618, -80206.89732198569 5012117.954363125, -79707.63514259772 5012080.775266897))",1,[[<POINT (7.637 45.024)>]],16.232929964285717,Other,30,52,0.0597701149425287,1,0,4,0,0,0,10,0,4,0,0,0,2,Yes,"{'primary', 'residential', 'secondary'}",2.875,47.93103448275862,Turin
613,"POLYGON ((-79744.40638421138 5011586.96913076, -79781.17481835105 5011093.162523831, -80280.43794996233 5011130.335943086, -80243.66903971194 5011624.145388618, -79744.40638421138 5011586.96913076))",1,[[<POINT (7.639 45.019)>]],8.49354768548387,Other,27,46,0.0655270655270655,1,0,0,1,0,0,3,0,2,0,0,0,3,No,{'residential'},2.0,37.5,Turin
614,"POLYGON ((-79781.17481835105 5011093.162523831, -79817.94044478761 5010599.355446112, -80317.20405250718 5010636.52602653, -80280.43794996233 5011130.335943086, -79781.17481835105 5011093.162523831))",0,[],5.470793487046631,Other,6,13,0.4333333333333333,0,0,0,0,0,0,5,0,2,0,0,0,0,No,{'residential'},2.0,40.0,Turin
615,"POLYGON ((-79817.94044478761 5010599.355446112, -79851.95075906301 5010142.521558642, -79865.44362175022 5010149.168312644, -79913.15008745517 5010173.810665666, -79923.63504788803 5010198.212353467, -79934.7142412212 5010224.023693633, -79947.32728430978 5010253.223517641, -79961.51680836466 5010285.692524274, -79988.4837480461 5010308.2396273045, -80016.33013604896 5010327.15962389, -80065.3705155364 5010357.79475836, -80129.12347812054 5010375.851555157, -80147.36036553932 5010369.318656302, -80182.08640108269 5010335.729400915, -80199.1887792144 5010319.179831854, -80204.03993877687 5010314.526578054, -80209.21259411646 5010309.398649878, -80221.15204313514 5010297.697905012, -80257.24592868378 5010291.318604787, -80263.0744043854 5010292.926606592, -80282.49630543927 5010305.253272153, -80336.79408256698 5010373.394397503, -80317.20405250718 5010636.52602653, -79817.94044478761 5010599.355446112))",0,[],1.0440498571428574,Other,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,No,{'tertiary'},2.0,30.0,Turin
616,"POLYGON ((-78977.99004251917 5021871.404266037, -78874.71452537284 5021850.9271231145, -78640.49378535175 5021804.486229262, -78543.46708116494 5021787.580777589, -78514.9875774295 5021781.828757225, -78483.16975780833 5021774.776393333, -78509.19816936529 5021425.769900237, -79008.44843710552 5021463.00240015, -78977.99004251917 5021871.404266037))",0,[],0.5147863121951219,Other,24,37,0.0670289855072463,0,0,0,0,0,0,1,0,0,1,0,0,0,Yes,"{'tertiary', 'unclassified'}",2.55,50.0,Turin
617,"POLYGON ((-78509.19816936529 5021425.769900237, -78546.02223346452 5020931.975543499, -79045.27297711803 5020969.205209452, -79008.44843710552 5021463.00240015, -78509.19816936529 5021425.769900237))",0,[],3.559259724137929,Other,18,24,0.0784313725490196,0,0,1,0,0,0,4,0,1,1,0,0,0,Yes,"{'tertiary', 'secondary'}",3.1818181818181817,50.0,Turin
618,"POLYGON ((-78546.02223346452 5020931.975543499, -78582.84349445312 5020438.180716162, -79082.09471401782 5020475.407547924, -79045.27297711803 5020969.205209452, -78546.02223346452 5020931.975543499))",2,"[[<POINT (7.646 45.104)>], [<POINT (7.644 45.104)>]]",9.99952721400778,Other,14,21,0.1153846153846153,0,0,0,1,0,0,2,0,0,0,0,0,1,Yes,{'secondary'},3.5,50.0,Turin
619,"POLYGON ((-78582.84349445312 5020438.180716162, -78619.66195210128 5019944.385418231, -79118.91364757554 5019981.609415569, -79082.09471401782 5020475.407547924, -78582.84349445312 5020438.180716162))",0,[],10.45026900990099,Other,25,44,0.0733333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,Yes,{'tertiary'},1.9285714285714288,50.0,Turin
620,"POLYGON ((-78619.66195210128 5019944.385418231, -78656.47760617884 5019450.58964971, -79155.72977756127 5019487.810812389, -79118.91364757554 5019981.609415569, -78619.66195210128 5019944.385418231))",0,[],0.6561284713804714,Other,6,12,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Turin
621,"POLYGON ((-78656.47760617884 5019450.58964971, -78693.29045645706 5018956.793410595, -79192.54310374544 5018994.011738386, -79155.72977756127 5019487.810812389, -78656.47760617884 5019450.58964971))",0,[],0.0291197249999999,Other,6,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,{'primary'},3.25,70.0,Turin
622,"POLYGON ((-78693.29045645706 5018956.793410595, -78730.1005027059 5018462.996700889, -79229.35362589872 5018500.212193562, -79192.54310374544 5018994.011738386, -78693.29045645706 5018956.793410595))",1,[[<POINT (7.643 45.083)>]],11.996338844339624,Other,21,37,0.0880952380952381,1,0,0,0,0,0,1,0,0,0,0,0,0,No,,,,Turin
623,"POLYGON ((-78730.1005027059 5018462.996700889, -78766.90774469555 5017969.199520598, -79266.1613437914 5018006.412177914, -79229.35362589872 5018500.212193562, -78730.1005027059 5018462.996700889))",0,[],16.79358657803468,Other,38,73,0.0519203413940256,1,0,4,1,0,0,9,0,3,4,0,0,0,Yes,"{'primary', 'residential'}",1.6666666666666667,43.333333333333336,Turin
624,"POLYGON ((-78766.90774469555 5017969.199520598, -78803.71218219702 5017475.401869722, -79302.96625719301 5017512.6116914535, -79266.1613437914 5018006.412177914, -78766.90774469555 5017969.199520598))",1,[[<POINT (7.643 45.077)>]],11.77698036280488,Other,48,60,0.026595744680851,0,0,0,1,0,0,6,0,0,2,2,0,1,Yes,"{'primary', 'residential', 'unclassified'}",1.8823529411764703,47.02702702702703,Turin
625,"POLYGON ((-78803.71218219702 5017475.401869722, -78840.51381498005 5016981.60374826, -79339.76836587524 5017018.810734174, -79302.96625719301 5017512.6116914535, -78803.71218219702 5017475.401869722))",0,[],14.78608443661972,Other,37,75,0.0563063063063063,0,0,5,0,0,0,3,0,0,0,0,0,5,Yes,"{'primary', 'tertiary', 'residential'}",1.875,40.0,Turin
626,"POLYGON ((-78840.51381498005 5016981.60374826, -78877.31264281564 5016487.805156214, -79376.5676696077 5016525.009306079, -79339.76836587524 5017018.810734174, -78840.51381498005 5016981.60374826))",0,[],13.462834687150837,Other,52,100,0.0377073906485671,0,0,0,0,0,0,1,0,0,0,0,0,1,Yes,"{'tertiary', 'residential', 'secondary'}",2.3,41.90476190476191,Turin
627,"POLYGON ((-78877.31264281564 5016487.805156214, -78914.10866547364 5015994.006093592, -79413.36416816106 5016031.207407173, -79376.5676696077 5016525.009306079, -78877.31264281564 5016487.805156214))",1,[[<POINT (7.642 45.062)>]],13.904128897280968,Other,46,78,0.0376811594202898,1,0,7,0,0,0,4,0,0,2,0,0,0,Yes,"{'tertiary', 'residential', 'unclassified'}",1.6904761904761905,40.95238095238095,Turin
628,"POLYGON ((-78914.10866547364 5015994.006093592, -78950.90188272519 5015500.206560388, -79450.15786130587 5015537.405037456, -79413.36416816106 5016031.207407173, -78914.10866547364 5015994.006093592))",0,[],12.91416466037736,Other,39,67,0.0452091767881241,3,0,1,1,0,0,1,0,0,0,0,0,4,Yes,"{'tertiary', 'residential', 'unclassified'}",1.5925925925925926,42.0,Turin
