geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
"POLYGON ((496299.59485609503 4138561.3706027386, 496299.5948560951 4138069.207600168, 496026.65970454976 4138069.207600168, 495955.14107673184 4138264.2848702674, 495949.6849238828 4138275.4703299534, 495906.0216245291 4138317.1054511396, 495875.7583179747 4138372.701603332, 495889.1889018835 4138413.8206813354, 495900.74842959165 4138430.3229691177, 495905.2001983504 4138447.12829504, 495871.45101254084 4138469.2664790726, 495810.46197928383 4138484.040866795, 495805.78841899545 4138486.554280191, 495805.78841899533 4138561.370602737, 496299.59485609503 4138561.3706027386))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.5948560951 4138069.207600168, 496299.59485609503 4137604.9276804253, 496268.6274631726 4137627.806012914, 496190.3357263096 4137685.5637042713, 496152.16119426343 4137717.8981776275, 496122.56394613785 4137748.165347583, 496104.3758042634 4137812.585889819, 496084.57949946006 4137882.6873887544, 496048.7169179802 4138009.0434008082, 496026.65970454976 4138069.207600168, 496299.5948560951 4138069.207600168))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496299.59485609515 4146396.9738682685, 496313.40053417237 4146390.137454583, 496345.5210702308 4146374.558138249, 496378.17191544507 4146358.0468029417, 496393.3794914335 4146351.5833805976, 496406.48353106296 4146347.75021851, 496419.31431455776 4146345.947432971, 496444.4544491085 4146343.05217251, 496515.4627250952 4146335.6999949035, 496526.36602877744 4146334.641492172, 496549.69362187124 4146332.368580615, 496577.07137636474 4146329.9276561746, 496616.87329904066 4146325.895296169, 496663.79407621955 4146321.804801257, 496680.4366957438 4146320.7220152197, 496692.89671246475 4146320.3065738208, 496714.3518335404 4146323.6596256588, 496731.3238119572 4146328.068439572, 496743.6353884493 4146332.5234854077, 496753.32113443484 4146338.599325463, 496764.0783566151 4146348.424599672, 496786.1689215277 4146371.6694883183, 496793.40129319445 4146377.954864717, 496793.40129319445 4145943.815641286, 496299.5948560951 4145943.815641284, 496299.59485609515 4146396.9738682685))",0,[],0.0029108553459119496,Other,0,0,0.0,0,0,1,1,0,0,8,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.40129319445 4145943.815641286, 496793.4012931947 4145451.6526387143, 496299.59485609503 4145451.652638715, 496299.5948560951 4145943.815641284, 496793.40129319445 4145943.815641286))",0,[],0.004593806451612903,Other,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.4012931947 4145451.6526387143, 496793.4012931945 4144959.4896361455, 496299.594856095 4144959.489636146, 496299.59485609503 4145451.652638715, 496793.4012931947 4145451.6526387143))",0,[],0.035602,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.4012931945 4144959.4896361455, 496793.4012931947 4144467.326633574, 496299.59485609503 4144467.326633575, 496299.594856095 4144959.489636146, 496793.4012931945 4144959.4896361455))",0,[],0.05847899999999992,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.4012931947 4144467.326633574, 496793.4012931947 4143975.1636310066, 496299.5948560949 4143975.1636310057, 496299.59485609503 4144467.326633575, 496793.4012931947 4144467.326633574))",0,[],0.0584789999999999,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.4012931947 4143975.1636310066, 496793.4012931947 4143483.000628436, 496299.59485609503 4143483.0006284364, 496299.5948560949 4143975.1636310057, 496793.4012931947 4143975.1636310066))",0,[],0.0584789999999999,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.4012931947 4143483.000628436, 496793.40129319445 4142990.8376258677, 496299.594856095 4142990.8376258668, 496299.59485609503 4143483.0006284364, 496793.4012931947 4143483.000628436))",0,[],0.05523016666666658,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
"POLYGON ((496793.40129319445 4142990.8376258677, 496793.4012931945 4142498.6746232957, 496299.59485609503 4142498.6746232947, 496299.594856095 4142990.8376258668, 496793.40129319445 4142990.8376258677))",0,[],0.0,Other,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,Catania
