,location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,cinema_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
20,Location 21,41.8794377369401,12.6709682036843,"POLYGON ((12.66795191947246 41.877176807607704, 12.66795191947246 41.88169866627249, 12.67398448789614 41.88169866627249, 12.67398448789614 41.877176807607704, 12.66795191947246 41.877176807607704))",1,1.8019568000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,residential,,2,residential,50.0,9,18,0.25
21,Location 22,44.8704541701007,10.0754476357731,"POLYGON ((10.07227878283046 44.868193240768306, 10.07227878283046 44.872715099433094, 10.07861648871574 44.872715099433094, 10.07861648871574 44.868193240768306, 10.07227878283046 44.868193240768306))",1,0.4808720178571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,commercial,yes,2,residential,43.333333333333336,3,4,0.6666666666666666
22,Location 23,45.6716431542405,12.1759121309309,"POLYGON ((12.172698226740335 45.669382224908105, 12.172698226740335 45.67390408357289, 12.179126035121465 45.67390408357289, 12.179126035121465 45.669382224908105, 12.172698226740335 45.669382224908105))",1,1.9717180888888888,0,0,0,0,0,0,3,0,0,0,0,0,0,2,residential,yes,2,service,50.0,26,43,0.06615384615384616
23,Location 24,44.907736,8.6362299,"POLYGON ((8.63305899241533 44.905475070667606, 8.63305899241533 44.909996929332394, 8.63940080758467 44.909996929332394, 8.63940080758467 44.905475070667606, 8.63305899241533 44.905475070667606))",4,2.287125682291667,0,0,6,0,0,0,11,0,0,0,2,0,0,9,commercial,yes,2,service,50.0,16,23,0.09583333333333334
24,Location 25,44.4241604056818,12.231005499928,"POLYGON ((12.227860934779498 44.42189947634941, 12.227860934779498 44.4264213350142, 12.2341500650765 44.4264213350142, 12.2341500650765 44.42189947634941, 12.227860934779498 44.42189947634941))",2,0.028638483870967738,0,0,2,0,0,0,10,0,0,0,2,0,0,3,commercial,yes,1,service,50.0,18,27,0.08823529411764706
25,Location 26,45.046,9.74263888888889,"POLYGON ((9.739460326333928 45.043739070667606, 9.739460326333928 45.04826092933239, 9.745817451443854 45.04826092933239, 9.745817451443854 45.043739070667606, 9.739460326333928 45.043739070667606))",1,0.022663830985915494,0,0,0,0,0,0,5,0,0,0,0,0,0,0,commercial,no,2,residential,50.0,2,2,1.0
26,Location 27,45.7188526145074,11.40818773035,"POLYGON ((11.404971111823986 45.716591685175004, 11.404971111823986 45.72111354383979, 11.411404348876015 45.72111354383979, 11.411404348876015 45.716591685175004, 11.404971111823986 45.716591685175004))",1,0.5363000040322581,0,0,1,1,0,0,2,0,0,0,1,0,0,0,residential,yes,2,service,,16,31,0.12916666666666668
27,Location 28,45.90523928,12.33474799,"POLYGON ((12.331520588674845 45.90297835066761, 12.331520588674845 45.9075002093324, 12.337975391325156 45.9075002093324, 12.337975391325156 45.90297835066761, 12.331520588674845 45.90297835066761))",1,0.647481135135135,0,0,0,0,0,0,8,0,0,0,7,0,0,2,residential,yes,2,service,57.27272727272727,21,36,0.08571428571428572
28,Location 29,41.6903055555555,15.3925277777778,"POLYGON ((15.389520378050426 41.6880446262231, 15.389520378050426 41.69256648488789, 15.395535177505176 41.69256648488789, 15.395535177505176 41.6880446262231, 15.389520378050426 41.6880446262231))",2,3.1310648199052133,2,0,0,1,0,0,3,0,0,0,0,0,0,1,commercial,yes,2,residential,50.0,16,34,0.14166666666666666
29,Location 30,40.58148,17.11315,"POLYGON ((17.110193012133017 40.579219070667605, 17.110193012133017 40.58374092933239, 17.116106987866985 40.58374092933239, 17.116106987866985 40.579219070667605, 17.110193012133017 40.579219070667605))",1,1.7701804834123223,0,0,3,0,0,0,0,0,0,0,1,0,0,0,commercial,yes,2,primary,53.125,22,38,0.08225108225108226
30,Location 31,41.9148955804917,12.3522324042998,"POLYGON ((12.349214444943883 41.91263465115931, 12.349214444943883 41.917156509824096, 12.355250363655717 41.917156509824096, 12.355250363655717 41.91263465115931, 12.349214444943883 41.91263465115931))",1,3.0776358697478994,0,0,0,0,0,0,2,0,0,0,0,0,0,0,residential,yes,2,street_lamp,50.0,10,22,0.24444444444444444
31,Location 32,45.7691944444444,8.595,"POLYGON ((8.591780479575078 45.76693351511201, 8.591780479575078 45.771455373776796, 8.598219520424923 45.771455373776796, 8.598219520424923 45.76693351511201, 8.591780479575078 45.76693351511201))",1,1.3666082962962962,0,0,1,1,0,0,1,0,0,0,5,0,0,1,residential,,2,residential,40.0,17,36,0.1323529411764706
32,Location 33,41.5279788847282,12.6819765865068,"POLYGON ((12.678976744445391 41.525717955395805, 12.678976744445391 41.53023981406059, 12.684976428568207 41.53023981406059, 12.684976428568207 41.525717955395805, 12.678976744445391 41.525717955395805))",1,0.8604935769230769,0,0,0,1,0,0,1,0,0,0,0,0,0,0,residential,,,residential,,6,10,0.3333333333333333
