connector_station_id,chargePointIdentity,station_city,gpsLat,gpsLong,station_brand,serialNumber,station_installation_year,station_installation_month,station_installation_week
393627,IT*F2X*EF2XITX5002*1,Occimiano,45.07462,8.51099,alpitronic GmbH,HYC_300_22BZ0547B - HYC_300_22BZ0547B,2022,5,18
393627,IT*F2X*EF2XITX5002*2,Occimiano,45.07462,8.51099,alpitronic GmbH,HYC_300_22BZ0547B - HYC_300_22BZ0547B,2022,5,18
393629,IT*F2X*EF2XITX5001*1,Occimiano,45.07469,8.51101,alpitronic GmbH,HYC_300_22BZ0548B - HYC_300_22BZ0548B,2022,5,18
393629,IT*F2X*EF2XITX5001*2,Occimiano,45.07469,8.51101,alpitronic GmbH,HYC_300_22BZ0548B - HYC_300_22BZ0548B,2022,5,18
952420,IT*F2X*EF2XITA3003*1,Modena,44.662235,10.858016,alpitronic GmbH,HYC_300_23BZ0054B - HYC_300_23BZ0054B,2023,12,49
393633,IT*F2X*EF2XITX5101*1,Occimiano,45.0749,8.50907,alpitronic GmbH,HYC_300_22BZ0549B - HYC_300_22BZ0549B,2022,5,18
393633,IT*F2X*EF2XITX5101*2,Occimiano,45.0749,8.50907,alpitronic GmbH,HYC_300_22BZ0549B - HYC_300_22BZ0549B,2022,5,18
393634,IT*F2X*EF2XITX5102*1,Occimiano,45.07489,8.50897,alpitronic GmbH,HYC_300_22BZ0546B - HYC_300_22BZ0546B,2022,5,18
393634,IT*F2X*EF2XITX5102*2,Occimiano,45.07489,8.50897,alpitronic GmbH,HYC_300_22BZ0546B - HYC_300_22BZ0546B,2022,5,18
952420,IT*F2X*EF2XITA3003*2,Modena,44.662235,10.858016,alpitronic GmbH,HYC_300_23BZ0054B - HYC_300_23BZ0054B,2023,12,49
952421,IT*F2X*EF2XITA3004*1,Modena,44.662234,10.85799,alpitronic GmbH,HYC_300_23BZ0052B - HYC_300_23BZ0052B,2023,12,49
952421,IT*F2X*EF2XITA3004*2,Modena,44.662234,10.85799,alpitronic GmbH,HYC_300_23BZ0052B - HYC_300_23BZ0052B,2023,12,49
412864,IT*F2X*EF2XITD2101*1,Caponago,45.57406,9.3934,alpitronic GmbH,HYC_300_22BZ0662B - HYC_300_22BZ0662B,2022,7,29
412864,IT*F2X*EF2XITD2101*2,Caponago,45.57406,9.3934,alpitronic GmbH,HYC_300_22BZ0662B - HYC_300_22BZ0662B,2022,7,29
412865,IT*F2X*EF2XITD2102*1,Caponago,45.57405,9.39331,alpitronic GmbH,HYC_300_22BZ0556B - HYC_300_22BZ0556B,2022,7,29
412865,IT*F2X*EF2XITD2102*2,Caponago,45.57405,9.39331,alpitronic GmbH,HYC_300_22BZ0556B - HYC_300_22BZ0556B,2022,7,29
765722,IT*F2X*EF2XITN6651*1,Campofilone,43.075143,13.842842,EVTEC,23172121 10941.1A - 23172121 10941.1A,2023,6,23
765722,IT*F2X*EF2XITN6651*2,Campofilone,43.075143,13.842842,EVTEC,23172121 10941.1A - 23172121 10941.1A,2023,6,23
765722,IT*F2X*EF2XITN6651*3,Campofilone,43.075143,13.842842,EVTEC,23172121 10941.1A - 23172121 10941.1A,2023,6,23
947901,IT*F2X*EF2XITN5151*3,Chiaravalle,43.627101,13.333993,EVTEC,23172160 10941.1A - 23172160 10941.1A,2023,11,47
476028,IT*F2X*EF2XITN5051*1,Chiaravalle,43.626774,13.334975,EVTEC,22441947 10941.1A - 22441947 10941.1A,2023,1,4
476028,IT*F2X*EF2XITN5051*2,Chiaravalle,43.626774,13.334975,EVTEC,22441947 10941.1A - 22441947 10941.1A,2023,1,4
476028,IT*F2X*EF2XITN5051*3,Chiaravalle,43.626774,13.334975,EVTEC,22441947 10941.1A - 22441947 10941.1A,2023,1,4
482320,IT*F2X*EF2XITO1001*1,Chieuti,41.909717,15.168962,alpitronic GmbH,HYC_300_22BZ0680B - HYC_300_22BZ0680B,2023,2,8
482320,IT*F2X*EF2XITO1001*2,Chieuti,41.909717,15.168962,alpitronic GmbH,HYC_300_22BZ0680B - HYC_300_22BZ0680B,2023,2,8
482321,IT*F2X*EF2XITO1002*1,Chieuti,41.909686,15.168951,alpitronic GmbH,HYC_300_22BZ0684B - HYC_300_22BZ0684B,2023,2,8
482321,IT*F2X*EF2XITO1002*2,Chieuti,41.909686,15.168951,alpitronic GmbH,HYC_300_22BZ0684B - HYC_300_22BZ0684B,2023,2,8
482322,IT*F2X*EF2XITO1051*1,Chieuti,41.909717,15.168884,EVTEC,22461955 10941.1A - 22461955 10941.1A,2023,2,8
482322,IT*F2X*EF2XITO1051*2,Chieuti,41.909717,15.168884,EVTEC,22461955 10941.1A - 22461955 10941.1A,2023,2,8
482322,IT*F2X*EF2XITO1051*3,Chieuti,41.909717,15.168884,EVTEC,22461955 10941.1A - 22461955 10941.1A,2023,2,8
903879,IT*F2X*EF2XITB2101*1,Capena,42.123209,12.616878,alpitronic GmbH,HYC_300_23BZ1033B - HYC_300_23BZ1033B,0,0,0
903879,IT*F2X*EF2XITB2101*2,Capena,42.123209,12.616878,alpitronic GmbH,HYC_300_23BZ1033B - HYC_300_23BZ1033B,0,0,0
903880,IT*F2X*EF2XITB2102*1,Capena,42.123278,12.616865,alpitronic GmbH,HYC_300_23BZ1032B - HYC_300_23BZ1032B,2023,7,27
482325,IT*F2X*EF2XITA8551*1,Fabro,42.875865,12.019143,EVTEC,23032059 10941.1A - 23032059 10941.1A,2023,2,8
482325,IT*F2X*EF2XITA8551*2,Fabro,42.875865,12.019143,EVTEC,23032059 10941.1A - 23032059 10941.1A,2023,2,8
482325,IT*F2X*EF2XITA8551*3,Fabro,42.875865,12.019143,EVTEC,23032059 10941.1A - 23032059 10941.1A,2023,2,8
903881,IT*F2X*EF2XITB2151*1,Capena,42.123164,12.616923,EVTEC,23072072 10941.1A - 23072072 10941.1A,2023,7,27
903881,IT*F2X*EF2XITB2151*2,Capena,42.123164,12.616923,EVTEC,23072072 10941.1A - 23072072 10941.1A,2023,7,27
903881,IT*F2X*EF2XITB2151*3,Capena,42.123164,12.616923,EVTEC,23072072 10941.1A - 23072072 10941.1A,2023,7,27
580919,IT*F2X*EF2XITX2001*1,Belforte Monferrato,44.591343,8.665681,alpitronic GmbH,HYC_300_22BZ6968B - HYC_300_22BZ6968B,2023,4,16
580919,IT*F2X*EF2XITX2001*2,Belforte Monferrato,44.591343,8.665681,alpitronic GmbH,HYC_300_22BZ6968B - HYC_300_22BZ6968B,2023,4,16
580920,IT*F2X*EF2XITX2002*1,Belforte Monferrato,44.59141,8.665706,alpitronic GmbH,HYC_300_22BZ6981B - HYC_300_22BZ6981B,2023,4,16
580920,IT*F2X*EF2XITX2002*2,Belforte Monferrato,44.59141,8.665706,alpitronic GmbH,HYC_300_22BZ6981B - HYC_300_22BZ6981B,2023,4,16
406354,IT*F2X*EF2XITH3101*1,Cascine Maggio,45.762983,8.809624,alpitronic GmbH,HYC_300_22BZ0666B - HYC_300_22BZ0666B,2022,7,28
406354,IT*F2X*EF2XITH3101*2,Cascine Maggio,45.762983,8.809624,alpitronic GmbH,HYC_300_22BZ0666B - HYC_300_22BZ0666B,2022,7,28
406355,IT*F2X*EF2XITH3102*1,Cascine Maggio,45.762915,8.809618,alpitronic GmbH,HYC_300_22BZ1158B - HYC_300_22BZ1158B,2022,7,28
406355,IT*F2X*EF2XITH3102*2,Cascine Maggio,45.762915,8.809618,alpitronic GmbH,HYC_300_22BZ1158B - HYC_300_22BZ1158B,2022,7,28
1017300,IT*F2X*EF2XITA3501*1,Casalecchio di Reno,44.456656,11.280327,alpitronic GmbH,HYC_300_23BZ1508B - HYC_300_23BZ1508B,2024,7,27
1017300,IT*F2X*EF2XITA3501*2,Casalecchio di Reno,44.456656,11.280327,alpitronic GmbH,HYC_300_23BZ1508B - HYC_300_23BZ1508B,2024,7,27
1017301,IT*F2X*EF2XITA3502*1,Casalecchio di Reno,44.4566,11.280372,alpitronic GmbH,HYC_300_23BZ1499B - HYC_300_23BZ1499B,2024,7,27
1017301,IT*F2X*EF2XITA3502*2,Casalecchio di Reno,44.4566,11.280372,alpitronic GmbH,HYC_300_23BZ1499B - HYC_300_23BZ1499B,2024,7,27
381881,IT*F2X*EF2XITD2001*1,Caponago,45.57584,9.39376,alpitronic GmbH,HYC_300_21BZ3103B - HYC_300_21BZ3103B,0,0,0
448796,IT*F2X*EF2XITB2502*1,Roma,41.891269,12.759088,alpitronic GmbH,HYC_300_22BZ3003B - HYC_300_22BZ3003B,2023,1,1
448796,IT*F2X*EF2XITB2502*2,Roma,41.891269,12.759088,alpitronic GmbH,HYC_300_22BZ3003B - HYC_300_22BZ3003B,2023,1,1
475845,IT*F2X*EF2XITM2051*3,Ferrara,44.879292,11.570791,EVTEC,22481970 10941.1A - 22481970 10941.1A,2023,1,4
