,chargerId,serialNumber,gpsLat,gpsLong,numberStacks,sessionLiveViewEnabled,doorContactSwitch_encoded,deadManSwitch_encoded,simActivated_encoded,isFavourite_encoded,AvailableSurroundingChargers_Count
242,9007,22BZ0555B,40.92538,14.7831,4,False,1,0,1,0,20
243,9839,22BZ0659B,45.7293,9.02912,4,False,1,0,1,0,48
244,20806,23BZ1502B,41.595306,15.470685,4,False,1,0,1,0,21
245,20801,23BZ1508B,44.4848,11.2583,4,False,1,0,1,0,45
246,16940,22BZ6975B,44.62256010204987,11.419845077178076,4,False,1,0,1,0,44
247,8932,22BZ0546B,45.07489,8.50897,4,False,1,0,1,0,52
248,20802,23BZ1507B,41.569647,15.518173,4,False,1,0,1,0,22
249,19528,23BZ1042B,46.206436157227,13.048324584961,4,False,1,0,1,0,7
250,6709,21BZ2781B,44.66229,10.85801,4,False,0,0,1,0,48
252,10288,22BZ0562B,45.76237,8.81087,4,False,1,0,1,0,42
254,9922,22BZ0667B,45.4616799,9.2765061,4,False,1,0,1,0,59
255,13444,22BZ3005B,44.39232885796939,9.045140638956768,4,False,1,0,1,0,33
258,16936,22BZ6971B,45.040109,11.708764,4,False,1,0,1,0,37
259,83772,24BZ1712B,43.0941,11.7806,4,True,1,0,0,0,34
260,16941,22BZ6976B,45.14290767128583,9.634451384519403,4,False,1,0,1,0,64
262,12614,22BZ2233B,44.39339,9.0467,4,False,1,0,1,0,33
263,17809,22BZ5322B,44.829025268555,11.594009399414,4,False,1,0,1,0,38
264,17811,22BZ5320B,42.318209,12.491354,4,False,1,0,1,0,32
265,9921,22BZ0666B,45.76298,8.80962,4,False,1,0,1,0,43
266,13418,22BZ3013B,43.07510245885713,13.842822845673412,4,False,1,0,1,0,15
267,83761,24BZ1701B,41.4877,13.69,4,True,1,0,0,0,23
268,83759,24BZ1699B,43.0941,11.7806,4,True,1,0,0,0,34
269,16947,22BZ6982B,43.404625,11.76227,4,False,1,0,1,0,34
272,16952,22BZ6987B,44.366226196289,9.1481781005859,4,False,1,0,1,0,33
275,8117,21BZ3103B,45.57584,9.39376,4,False,1,0,1,0,63
277,11457,22BZ2239B,45.5322914,10.1514359,4,False,1,0,1,0,41
279,83767,24BZ1707B,44.6097,8.6613,4,True,1,0,0,0,46
281,9725,22BZ0657B,44.28767509785708,8.441156121269197,4,False,1,0,1,0,20
283,9840,22BZ0660B,43.81879540319122,11.172247703403862,4,False,1,0,1,0,45
284,9264,22BZ0560B,43.99432,12.61851,4,False,1,0,1,0,16
285,12613,22BZ2232B,45.53250080821757,10.148404368913836,4,False,1,0,1,0,41
287,8116,21BZ3102B,44.5183,11.21429,4,False,1,0,1,0,45
289,9218,22BZ0551B,43.62697,13.33526,4,False,1,0,1,0,12
290,19533,23BZ1047B,42.2000860064834,14.561545153634787,4,False,1,0,1,0,23
295,19745,23BZ0054B,44.66223666034456,10.85800979285428,4,False,1,0,1,0,48
296,9920,22BZ0671B,45.46226590000001,9.2378661,4,False,1,0,1,0,59
297,8896,22BZ0544B,44.96265,9.90435,4,False,1,0,1,0,57
298,10542,22BZ0683B,41.926337,15.131712,4,False,1,0,1,0,18
299,10541,22BZ0682B,41.25181,16.2201,4,False,1,0,1,0,12
300,19742,23BZ0057B,42.624796,12.231543,4,False,1,0,1,0,38
301,13416,22BZ3015B,41.064709,15.314145,4,False,1,0,1,0,21
303,12617,22BZ2236B,45.53245626526257,10.148463121581308,4,False,1,0,1,0,41
305,6726,21BZ2763B,45.32181749999999,9.3746729,4,False,1,0,1,0,64
306,17819,22BZ5312B,43.4811877716243,13.59483103391386,4,False,1,0,1,0,14
308,17425,22BZ5352B,41.493573,13.691659,4,False,1,0,1,0,24
311,9466,22BZ0675B,43.65052,11.46448,4,False,1,0,1,0,41
314,8115,21BZ3101B,41.23402,14.09175,4,False,1,0,1,0,24
317,17818,22BZ5313B,40.876693725586,14.318618774414,4,False,1,0,1,0,21
318,83775,24BZ1715B,45.7601,8.8096,4,True,1,0,0,0,42
319,10549,22BZ0690B,43.58300139576382,11.522125002221816,4,False,1,0,1,0,41
320,17814,22BZ5317B,45.6274098,8.7121458,4,False,1,0,1,0,43
321,39571,23BZ0433D,44.66180260625645,10.854625413495116,4,False,1,1,0,0,48
323,6772,21BZ2008A,44.66244,10.85816,1,False,0,0,1,0,48
324,83777,24BZ1717B,43.4081,11.7649,4,True,1,0,0,0,33
326,83836,24BZ1816B,45.7341,9.3835,4,True,1,0,0,0,54
331,9006,22BZ0554B,44.88008,11.56906,4,False,1,0,1,0,36
332,16938,22BZ6973B,43.40804784777996,11.763220279967504,4,False,1,0,1,0,33
334,13446,22BZ3018B,45.14231059784972,9.632817601064309,4,False,1,0,1,0,64
335,10551,22BZ1159B,41.25075,16.21894,4,False,1,0,1,0,11
336,20810,23BZ1499B,44.4525,11.2796,4,False,1,0,1,1,45
337,19747,23BZ0052B,44.66238507058817,10.858520518762573,4,False,1,0,1,0,48
340,6771,21BZ2009A,42.49917,12.31096,1,False,0,0,1,0,36
341,16937,22BZ6972B,43.395714,11.760434,4,False,1,0,1,0,33
344,17821,22BZ5310B,42.200748,14.59728,4,False,1,0,1,0,22
345,17810,22BZ5321B,42.203846,14.535772,4,False,1,0,1,0,22
347,10543,22BZ0684B,41.90990674284409,15.168792010891588,4,False,1,0,1,0,20
348,17740,22BZ5327B,41.68601410548256,13.18750898624291,4,False,1,0,1,0,33
351,19527,23BZ1041B,44.826193,10.380317,4,False,1,0,1,0,42
352,13415,22BZ3016B,43.07509608255541,13.842811499524649,4,False,1,0,1,0,16
353,19518,23BZ1032B,42.119499,12.61847,4,False,1,0,1,0,33
355,17741,22BZ5326B,41.68652804286626,13.18860423243303,4,False,1,0,1,0,33
356,6710,21BZ2780B,42.49929,12.31107,4,False,0,0,1,0,36
357,19748,23BZ0051B,45.548589,9.210064,4,False,1,0,1,0,59
358,8935,22BZ0549B,45.0749,8.50907,4,False,1,0,1,0,52
360,9009,22BZ0557B,43.99436,12.61855,4,False,1,0,1,0,16
361,20792,23BZ1517B,45.55872953594708,9.039780726784564,4,False,1,0,1,0,56
362,13445,22BZ3017B,41.88976488263891,12.758369210890834,4,False,1,0,1,0,34
366,10540,22BZ0681B,41.90890271028204,15.168512077047428,4,False,1,0,1,0,20
369,20797,23BZ1512B,41.59151,15.47307,4,False,1,0,1,0,21
